Store,Date,Volume (units), Sales ($s) , Price 
1,8/31/2019,180," $2,045 ", $11.36 
1,8/30/2019,128," $1,919 ", $14.99 
1,8/29/2019,86," $1,289 ", $14.99 
1,8/28/2019,68," $1,019 ", $14.99 
1,8/27/2019,104," $1,559 ", $14.99 
1,8/26/2019,77," $1,154 ", $14.99 
1,8/25/2019,96," $1,439 ", $14.99 
1,8/24/2019,68," $1,019 ", $14.99 
1,8/23/2019,97," $1,392 ", $14.35 
1,8/22/2019,159," $1,979 ", $12.45 
1,8/21/2019,93," $1,394 ", $14.99 
1,8/20/2019,61, $914 , $14.99 
1,8/19/2019,76," $1,139 ", $14.99 
1,8/18/2019,112," $1,679 ", $14.99 
1,8/17/2019,101," $1,506 ", $14.92 
1,8/16/2019,177," $2,075 ", $11.72 
1,8/15/2019,94," $1,409 ", $14.99 
1,8/14/2019,157," $1,901 ", $12.11 
1,8/13/2019,125," $1,772 ", $14.17 
1,8/12/2019,110," $1,649 ", $14.99 
1,8/11/2019,94," $1,409 ", $14.99 
1,8/10/2019,145," $1,403 ", $9.68 
1,8/9/2019,121," $1,814 ", $14.99 
1,8/8/2019,107," $1,604 ", $14.99 
1,8/7/2019,177," $2,030 ", $11.47 
1,8/6/2019,90," $1,349 ", $14.99 
1,8/5/2019,96," $1,439 ", $14.99 
1,8/4/2019,83," $1,244 ", $14.99 
1,8/3/2019,176," $2,156 ", $12.25 
1,8/2/2019,99," $1,375 ", $13.89 
1,8/1/2019,118," $1,625 ", $13.77 
1,7/31/2019,175," $1,910 ", $10.92 
1,7/30/2019,75," $1,124 ", $14.99 
1,7/29/2019,120," $1,799 ", $14.99 
1,7/28/2019,79," $1,184 ", $14.99 
1,7/27/2019,99," $1,484 ", $14.99 
1,7/26/2019,96," $1,439 ", $14.99 
1,7/25/2019,64, $959 , $14.99 
1,7/24/2019,79," $1,184 ", $14.99 
1,7/23/2019,90," $1,349 ", $14.99 
1,7/22/2019,89," $1,334 ", $14.99 
1,7/21/2019,136," $1,857 ", $13.66 
1,7/20/2019,217," $2,178 ", $10.03 
1,7/19/2019,89," $1,334 ", $14.99 
1,7/18/2019,131," $1,797 ", $13.72 
1,7/17/2019,98," $1,469 ", $14.99 
1,7/16/2019,163," $1,999 ", $12.27 
1,7/15/2019,108," $1,619 ", $14.99 
1,7/14/2019,114," $1,709 ", $14.99 
1,7/13/2019,162," $2,240 ", $13.83 
1,7/12/2019,140," $2,099 ", $14.99 
1,7/11/2019,106," $1,589 ", $14.99 
1,7/10/2019,95," $1,373 ", $14.45 
1,7/9/2019,140," $1,695 ", $12.11 
1,7/8/2019,102," $1,516 ", $14.87 
1,7/7/2019,124," $1,859 ", $14.99 
1,7/6/2019,112," $1,679 ", $14.99 
1,7/5/2019,94," $1,409 ", $14.99 
1,7/4/2019,109," $1,634 ", $14.99 
1,7/3/2019,113," $1,694 ", $14.99 
1,7/2/2019,124," $1,788 ", $14.42 
1,7/1/2019,88," $1,255 ", $14.26 
1,6/30/2019,119," $1,784 ", $14.99 
1,6/29/2019,94," $1,366 ", $14.53 
1,6/28/2019,96," $1,416 ", $14.75 
1,6/27/2019,114," $1,709 ", $14.99 
1,6/26/2019,86," $1,289 ", $14.99 
1,6/25/2019,168," $2,069 ", $12.32 
1,6/24/2019,64, $959 , $14.99 
1,6/23/2019,86," $1,289 ", $14.99 
1,6/22/2019,110," $1,649 ", $14.99 
1,6/21/2019,68," $1,010 ", $14.85 
1,6/20/2019,118," $1,769 ", $14.99 
1,6/19/2019,88," $1,301 ", $14.79 
1,6/18/2019,209," $2,106 ", $10.08 
1,6/17/2019,138," $2,069 ", $14.99 
1,6/16/2019,134," $1,807 ", $13.49 
1,6/15/2019,116," $1,739 ", $14.99 
1,6/14/2019,172," $2,322 ", $13.50 
1,6/13/2019,150," $2,249 ", $14.99 
1,6/12/2019,110," $1,649 ", $14.99 
1,6/11/2019,128," $1,919 ", $14.99 
1,6/10/2019,104," $1,529 ", $14.70 
1,6/9/2019,99," $1,436 ", $14.50 
1,6/8/2019,160," $2,146 ", $13.41 
1,6/7/2019,135," $1,975 ", $14.63 
1,6/6/2019,138," $2,215 ", $16.05 
1,6/5/2019,99," $1,414 ", $14.28 
1,6/4/2019,99," $1,484 ", $14.99 
1,6/3/2019,142," $1,808 ", $12.73 
1,6/2/2019,75," $1,124 ", $14.99 
1,6/1/2019,124," $1,657 ", $13.36 
1,5/31/2019,111," $1,664 ", $14.99 
1,5/30/2019,92," $1,379 ", $14.99 
1,5/29/2019,104," $1,313 ", $12.62 
1,5/28/2019,134," $2,009 ", $14.99 
1,5/27/2019,200," $2,674 ", $13.37 
1,5/26/2019,120," $1,691 ", $14.09 
1,5/25/2019,83," $1,244 ", $14.99 
1,5/24/2019,159," $2,103 ", $13.22 
1,5/23/2019,118," $1,769 ", $14.99 
1,5/22/2019,82," $1,182 ", $14.41 
1,5/21/2019,129," $1,810 ", $14.03 
1,5/20/2019,110," $1,636 ", $14.88 
1,5/19/2019,148," $2,219 ", $14.99 
1,5/18/2019,95," $1,424 ", $14.99 
1,5/17/2019,93," $1,394 ", $14.99 
1,5/16/2019,114," $1,686 ", $14.79 
1,5/15/2019,158," $2,177 ", $13.78 
1,5/14/2019,108," $1,619 ", $14.99 
1,5/13/2019,168," $1,975 ", $11.76 
1,5/12/2019,122," $1,829 ", $14.99 
1,5/11/2019,96," $1,393 ", $14.51 
1,5/10/2019,155," $1,977 ", $12.75 
1,5/9/2019,114," $1,709 ", $14.99 
1,5/8/2019,102," $1,529 ", $14.99 
1,5/7/2019,151," $1,874 ", $12.41 
1,5/6/2019,133," $1,762 ", $13.25 
1,5/5/2019,108," $1,595 ", $14.77 
1,5/4/2019,84," $1,171 ", $13.94 
1,5/3/2019,124," $1,807 ", $14.57 
1,5/2/2019,113," $1,694 ", $14.99 
1,5/1/2019,94," $1,391 ", $14.79 
1,4/30/2019,154," $2,094 ", $13.60 
1,4/29/2019,124," $1,791 ", $14.44 
1,4/28/2019,109," $1,634 ", $14.99 
1,4/27/2019,70," $1,049 ", $14.99 
1,4/26/2019,127," $1,904 ", $14.99 
1,4/25/2019,109," $1,634 ", $14.99 
1,4/24/2019,95," $1,424 ", $14.99 
1,4/23/2019,101," $1,514 ", $14.99 
1,4/22/2019,110," $1,607 ", $14.61 
1,4/21/2019,124," $1,859 ", $14.99 
1,4/20/2019,124," $1,859 ", $14.99 
1,4/19/2019,146," $1,933 ", $13.24 
1,4/18/2019,107," $1,604 ", $14.99 
1,4/17/2019,124," $1,828 ", $14.74 
1,4/16/2019,101," $1,469 ", $14.55 
1,4/15/2019,192," $2,534 ", $13.20 
1,4/14/2019,101," $1,514 ", $14.99 
1,4/13/2019,67," $1,004 ", $14.99 
1,4/12/2019,216," $2,312 ", $10.71 
1,4/11/2019,117," $1,754 ", $14.99 
1,4/10/2019,141," $1,941 ", $13.77 
1,4/9/2019,164," $1,911 ", $11.65 
1,4/8/2019,130," $1,949 ", $14.99 
1,4/7/2019,101," $1,514 ", $14.99 
1,4/6/2019,171," $2,052 ", $12.00 
1,4/5/2019,110," $1,488 ", $13.53 
1,4/4/2019,122," $1,829 ", $14.99 
1,4/3/2019,179," $2,336 ", $13.05 
1,4/2/2019,62, $929 , $14.99 
1,4/1/2019,130," $1,949 ", $14.99 
1,3/31/2019,112," $1,562 ", $13.94 
1,3/30/2019,87," $1,304 ", $14.99 
1,3/29/2019,88," $1,319 ", $14.99 
1,3/28/2019,94," $1,409 ", $14.99 
1,3/27/2019,71," $1,056 ", $14.87 
1,3/26/2019,93," $1,311 ", $14.09 
1,3/25/2019,151," $2,263 ", $14.99 
1,3/24/2019,107," $1,554 ", $14.53 
1,3/23/2019,86," $1,241 ", $14.43 
1,3/22/2019,104," $1,559 ", $14.99 
1,3/21/2019,156," $2,107 ", $13.51 
1,3/20/2019,83," $1,244 ", $14.99 
1,3/19/2019,62, $929 , $14.99 
1,3/18/2019,120," $1,687 ", $14.06 
1,3/17/2019,192," $2,366 ", $12.32 
1,3/16/2019,100," $1,487 ", $14.87 
1,3/15/2019,78," $1,169 ", $14.99 
1,3/14/2019,101," $1,514 ", $14.99 
1,3/13/2019,112," $1,679 ", $14.99 
1,3/12/2019,178," $2,126 ", $11.94 
1,3/11/2019,113," $1,653 ", $14.63 
1,3/10/2019,90," $1,298 ", $14.42 
1,3/9/2019,130," $1,856 ", $14.28 
1,3/8/2019,168," $2,137 ", $12.72 
1,3/7/2019,97," $1,454 ", $14.99 
1,3/6/2019,70," $1,049 ", $14.99 
1,3/5/2019,69," $1,034 ", $14.99 
1,3/4/2019,161," $2,031 ", $12.61 
1,3/3/2019,103," $1,544 ", $14.99 
1,3/2/2019,100," $1,499 ", $14.99 
1,3/1/2019,159," $2,005 ", $12.61 
1,2/28/2019,118," $1,769 ", $14.99 
1,2/27/2019,105," $1,574 ", $14.99 
1,2/26/2019,165," $2,061 ", $12.49 
1,2/25/2019,96," $1,439 ", $14.99 
1,2/24/2019,137," $1,896 ", $13.84 
1,2/23/2019,131," $1,964 ", $14.99 
1,2/22/2019,159," $2,292 ", $14.42 
1,2/21/2019,123," $1,844 ", $14.99 
1,2/20/2019,83," $1,244 ", $14.99 
1,2/19/2019,90," $1,349 ", $14.99 
1,2/18/2019,105," $1,574 ", $14.99 
1,2/17/2019,128," $1,919 ", $14.99 
1,2/16/2019,112," $1,679 ", $14.99 
1,2/15/2019,176," $2,068 ", $11.75 
1,2/14/2019,99," $1,384 ", $13.98 
1,2/13/2019,127," $1,749 ", $13.77 
1,2/12/2019,87," $1,287 ", $14.79 
1,2/11/2019,78," $1,169 ", $14.99 
1,2/10/2019,128," $1,856 ", $14.50 
1,2/9/2019,121," $1,666 ", $13.77 
1,2/8/2019,71," $1,064 ", $14.99 
1,2/7/2019,154," $2,022 ", $13.13 
1,2/6/2019,96," $1,439 ", $14.99 
1,2/5/2019,123," $1,624 ", $13.21 
1,2/4/2019,102," $1,489 ", $14.60 
1,2/3/2019,103," $1,544 ", $14.99 
1,2/2/2019,118," $1,578 ", $13.37 
1,2/1/2019,115," $1,724 ", $14.99 
1,1/31/2019,140," $1,961 ", $14.01 
1,1/30/2019,98," $1,422 ", $14.51 
1,1/29/2019,87," $1,255 ", $14.42 
1,1/28/2019,107," $1,502 ", $14.04 
1,1/27/2019,125," $1,874 ", $14.99 
1,1/26/2019,75," $1,124 ", $14.99 
1,1/25/2019,110," $1,646 ", $14.96 
1,1/24/2019,104," $1,486 ", $14.29 
1,1/23/2019,142," $1,722 ", $12.13 
1,1/22/2019,92," $1,379 ", $14.99 
1,1/21/2019,84," $1,259 ", $14.99 
1,1/20/2019,193," $2,173 ", $11.26 
1,1/19/2019,72," $1,079 ", $14.99 
1,1/18/2019,99," $1,484 ", $14.99 
1,1/17/2019,114," $1,553 ", $13.63 
1,1/16/2019,103," $1,544 ", $14.99 
1,1/15/2019,92," $1,379 ", $14.99 
1,1/14/2019,131," $1,824 ", $13.93 
1,1/13/2019,127," $1,904 ", $14.99 
1,1/12/2019,74," $1,097 ", $14.82 
1,1/11/2019,112," $1,679 ", $14.99 
1,1/10/2019,89," $1,324 ", $14.87 
1,1/9/2019,71," $1,064 ", $14.99 
1,1/8/2019,108," $1,619 ", $14.99 
1,1/7/2019,84," $1,411 ", $16.80 
1,1/6/2019,77," $1,154 ", $14.99 
1,1/5/2019,72," $1,079 ", $14.99 
1,1/4/2019,135," $1,516 ", $11.23 
1,1/3/2019,169," $2,059 ", $12.18 
1,1/2/2019,96," $1,439 ", $14.99 
1,1/1/2019,89," $1,267 ", $14.24 
2,8/31/2019,150," $1,854 ", $12.36 
2,8/30/2019,157," $2,085 ", $13.28 
2,8/29/2019,125," $1,874 ", $14.99 
2,8/28/2019,112," $1,679 ", $14.99 
2,8/27/2019,107," $1,604 ", $14.99 
2,8/26/2019,118," $1,769 ", $14.99 
2,8/25/2019,167," $2,063 ", $12.35 
2,8/24/2019,145," $1,777 ", $12.25 
2,8/23/2019,165," $2,210 ", $13.39 
2,8/22/2019,120," $1,799 ", $14.99 
